,,,,,,,
,field name,BE variable name,field type,default value,description (or logic),comments,
,,,,,,,
Table name:,User,"User level table, row created when new phone number attempts to log in",,,,,
,id,id,UUID,Primary key,userId; created for each unique phone number at the time of row creation,,
,phone_number,phoneNumber,varchar,Required,"unique, country code (+XX) and 10 digit phone number",,
,first_name,firstName,varchar,NULL,mandatory field on FE,,
,last_name,lastName,varchar,NULL,"optional, null if not entered",,
,otp_verified,otpVerified,boolean,FALSE,TRUE when successfully verified using otp at least once,,
,cat_profile_added,catProfileAdded,boolean,FALSE,TRUE when user enters mandatory cat profile details,,
,num_scan_attempts,numScanAttempts,int,0,Number of times user has attempetd to scan items: Unique successful uploads,,
,num_scans_success,numScansSuccess,int,0,Number of times user has successfully scanned : Unique successful output/report cards,,
,created_at,createdAt,timestamp,System generated,record timestamp at row creation,,
,updated_at,updatedAt,timestamp,System generated,record timestamp at row updation,,
,,,,,,,
,,,,,,,
Table name:,OTP,Keeps record of every login & OTP verification,,,,,
,id,id,UUID,Primary key,created at each login attempt ,,
,phone_number,phoneNumber,varchar,Required,link to Users table,,
,otp_value,otpValue,Text ,actual otp for verification,Hashed: HMAC-SHA256,,
,otp_verified,otpVerified,boolean,FALSE,TRUE once OTP is verified at least once for user/phone number,,
,num_attempts,numAttempts,int,0,Counter to trtack number of attempts,,
,created_at,createdAt,timestamp,System generated,timestamp for each login attempt & otp generation,,
,expires_at,expiresAt,timestamp,System generated,Based on limit: 3-5 minutes,,
,,,,,,,
,,,,,,,
Table name:,Cats,"Keeps records of all cats entered by a user, tied to phone number/user ID",,,,,
,id,id,UUID,primary key,"catId, created for each unique phone number at the time of row creation",,
,user_id,userId,UUID,System generated,foreign key to Users,,
,cat_name,catName,varchar,Required,,,
,cat_gender,catGender,varchar,Required,"male, female",,
,cat_dob,catDOB,date,Optional,,Later,
,cat_age_year,catAgeYear,int,Required,in years,"Recorded at creation. Use ""current age"" as the cat grows up. ",
,cat_age_month,catAgeMonth,int,Required,in months,"Recorded at creation. Use ""current age"" as the cat grows up. ",
,body_condition,bodyCondition,varchar/enum,Required,"Visual guide with illustrations showing:
- overweight: Round belly, no waist definition, ribs not easily felt
- ideal weight: Visible waist when viewed from above, ribs easily felt without pressing
- underweight: Prominent ribs/hip bones, severe waist tuck",,
,body_condition_score,bodyConditionScore,numeric,"NULL, Optional","1-9, WSAVA 9 point scale for body condition score",Later,
,weight_kg,weightKg,float,"NULL, Optional",in kg,Later,
