id,canonical_name,aliases,class,origin,category,purpose,evaluation,flags,function_note,concern_note,counterpoint,source,source_status
1,chicken,chicken;boneless chicken;chicken fillet;chicken breast;chicken breast 75%;fresh chicken;real chicken,whole_ingredient,animal,named_animal_protein,protein,positive,named_protein,"Named muscle-meat protein; highly digestible, high biological value.",,,WSAVA toolkit (folder),OK
2,chicken (dehydrated/meal),dehydrated chicken protein;dehydrated chicken proteins;chicken meal;dried chicken,whole_ingredient,animal,named_animal_protein,protein,positive,named_protein;rendered,"Rendered, moisture-removed chicken protein; concentrated.",,"'Meal' is rendered, not fresh - normal and fine.",AAFCO Ingredients List (folder); WSAVA toolkit (folder),OK
3,poultry protein (dehydrated),dehydrated poultry proteins;dehydrated poultry protein;poultry meal;poultry & poultry products;poultry,whole_ingredient,animal,named_animal_protein,protein,neutral,rendered;species_broad,Concentrated poultry protein.,'Poultry' less specific than naming the bird.,More transparent than 'meat and animal derivatives'.,AAFCO Ingredients List (folder),OK
4,fish & seafood (named),salmon;herring;dehydrated herring protein;mackerel;sardine;bonito;dried bonito;skipjack;sea bream;sea bream fillet;fish;fish meal;dehydrated fish protein,whole_ingredient,animal,named_animal_protein,protein,positive,named_protein;fish,Named fish/seafood protein; protein and omega-3s.,"Species-specific concerns exist (see tuna, shellfish rows); frequent single-protein feeding is not ideal.","A named fish is a good protein in a varied, complete diet.",WSAVA toolkit (folder); NRC Nutrient Requirements of Dogs & Cats (folder),PARTIAL
5,liver / organ (named),chicken liver;liver;poultry liver,whole_ingredient,animal,named_animal_protein,protein,positive,named_protein;organ,"Named organ meat; nutrient-dense (vit A, taurine).",Excess vitamin A if fed as a sole diet long-term.,,WSAVA toolkit (folder); NRC Nutrient Requirements of Dogs & Cats (folder),PARTIAL
6,egg,dried eggs;dried egg;egg;egg powder,whole_ingredient,animal,named_animal_protein,protein,positive,named_protein,Highest-biological-value reference protein.,,,AAFCO Ingredients List (folder),OK
7,meat and animal derivatives,meat and animal derivatives;meat & animal derivatives;animal derivatives,whole_ingredient,animal,unnamed_animal_protein,protein,caution,generic_protein;regulated_generic_term,EU-regulated catch-all for animal protein of unspecified species/part.,"Species, part and quality not disclosed; buyer cannot assess.",Legal & common in wet food; NOT proof of low quality (WSAVA).,FEDIAF 2025 (folder); WSAVA toolkit (folder),OK
8,fish and fish derivatives,fish and fish derivatives;fish & fish derivatives,whole_ingredient,animal,unnamed_animal_protein,protein,caution,generic_protein;regulated_generic_term,EU-regulated catch-all for fish protein of unspecified species.,Species/part not disclosed.,Legal category term; not inherently low quality (WSAVA).,FEDIAF 2025 (folder); WSAVA toolkit (folder),OK
9,animal fats/derivatives (generic),animal fats;animal fat;oils and fats;oils & fats;fat & oil;fat and oil,whole_ingredient,animal,unnamed_animal_fat,fat,neutral,generic_fat,Generic animal fat; energy and essential fatty acids.,Source species not named.,"Named fat (chicken fat) is more transparent, not necessarily healthier.",FEDIAF 2025 (folder),OK
10,by-products (named),chicken by-products;chicken by-product;poultry by-product;by-product meal,whole_ingredient,animal,named_animal_protein,protein,neutral,byproduct,Organs/parts beyond muscle meat; species named (chicken).,Quality varies; carries stigma with owners.,By-products are NOT inherently inferior; can be highly nutritious (WSAVA).,WSAVA toolkit (folder),OK
11,hydrolysed protein,hydrolysed animal proteins;hydrolysed animal protein;animal hydrolyzed;hydrolysed fish protein;hydrolysed poultry liver;chicken liver hydrolysate;feather hydrolysate;feather hydrolysate with low molecular weight,whole_ingredient,animal,hydrolysed_protein,protein;functional,neutral,hydrolysed;therapeutic_marker,Protein broken into small peptides; used in hypoallergenic/therapeutic diets.,Often signals a therapeutic diet (out of MVP scope).,,WSAVA toolkit (folder); JFMS allergy paper (folder),OK
12,rice,rice;rice starch;brewers rice;rice product,whole_ingredient,plant,grain_carb,carbohydrate,neutral,carb,Digestible carbohydrate/energy; kibble binder.,Cats have low carb need; high inclusion dilutes animal protein.,Digestible grains are fine in moderation (WSAVA); not a 'filler'.,WSAVA toolkit (folder),OK
13,maize/corn,maize;corn;maize flour;maize starch;corn fibres,whole_ingredient,plant,grain_carb,carbohydrate;fibre,neutral,carb,Carbohydrate/energy; corn fibre adds fibre.,Common allergen scapegoat; dilutes animal protein at high inclusion.,True corn allergy is rare; digestible when processed (WSAVA).,WSAVA toolkit (folder),OK
14,wheat,wheat;wheat flour;refined wheat flour,whole_ingredient,plant,grain_carb,carbohydrate,neutral,carb,Carbohydrate/energy and binder.,Carb load for a carnivore; gluten source.,Fine in moderation unless specific sensitivity.,WSAVA toolkit (folder),OK
15,maize/corn gluten,maize gluten;corn gluten;maize gluten meal,whole_ingredient,plant,plant_protein,protein,caution,plant_protein;protein_boost,Concentrated plant protein that raises crude-protein %.,Can inflate protein figures with lower-value plant protein.,Contributes some amino acids; issue mainly when replacing animal protein.,WSAVA toolkit (folder),OK
16,wheat gluten/proteins,wheat gluten;wheat proteins,whole_ingredient,plant,plant_protein,protein,caution,plant_protein;protein_boost,Plant protein/binder that raises crude-protein %.,Protein-inflation concern.,,WSAVA toolkit (folder),OK
17,soy (meal/protein),soybean meal;soya;hydrolysed soya protein isolate;vegetable protein extracts,whole_ingredient,plant,plant_protein,protein,caution,plant_protein,Plant protein (meal/isolate).,Plant protein for an obligate carnivore; common allergen.,Isolates used in therapeutic diets.,WSAVA toolkit (folder),OK
18,starchy carbs (potato/tapioca/other),sweet potato;potato;manioc;tapioca;maltodextrin;dextrose;quinoa seed;quinoa,whole_ingredient,plant,grain_carb,carbohydrate,neutral,carb;grain_free_marker,Carbohydrate/energy; used in grain-free formulas.,'Grain-free' does not mean low-carb.,,WSAVA toolkit (folder),OK
19,prebiotic fibre (FOS/inulin/MOS),fructo-oligosaccharides;fructo-oligo-saccharides;fructo-oligosaccharide;fos;inulin;manno-oligosaccharides;mos;beta-glucans;beta-glucans and mos;fos and beta glucan;butyrgenic alpha-glucans,whole_ingredient,plant,fibre_prebiotic,fibre,positive,prebiotic,Prebiotic fibres supporting gut microbiome.,,,WSAVA toolkit (folder),OK
20,functional fibres,psyllium husks and seeds;psyllium husks;psyllium;beet pulp;dried beet pulp;chicory pulp;pea fibre;vegetable fibres;alfalfa meal;cellulose;microcrystalline cellulose;powder cellulose,whole_ingredient,plant,fibre,fibre,neutral,fibre,"Fibre for stool quality, hairball and satiety.",Very high inclusion can dilute nutrients.,,WSAVA toolkit (folder),OK
21,chicken fat (named),chicken fat,whole_ingredient,animal,named_animal_fat,fat,positive,named_fat,Named animal fat; palatable energy and EFAs.,,,AAFCO Ingredients List (folder),OK
22,fish oil / marine oil,fish oil;herring oil;algal oil;salmon oil,whole_ingredient,animal,oil,fat;functional,positive,omega3,"Long-chain omega-3s (EPA/DHA) for skin, coat, joints.",,,WSAVA toolkit (folder); NRC Nutrient Requirements of Dogs & Cats (folder),OK
23,vegetable oils,sunflower oil;copra oil;borage oil;linseed;flaxseed;palm stearin;soya oil;soybean oil,whole_ingredient,plant,oil,fat,neutral,omega6_source,Plant oils; omega-6 and some ALA (linseed).,Cats convert plant ALA to EPA/DHA poorly - animal omega-3 preferred.,,WSAVA toolkit (folder); NRC Nutrient Requirements of Dogs & Cats (folder),OK
24,taurine,taurine,additive_nutrient,synthetic,amino_acid,amino_acid,positive,essential_nutrient,Essential amino acid cats cannot make enough of; added to meet the standard.,"Deficiency -> dilated cardiomyopathy, retinal degeneration.",,IS-11968:2019 (folder); FEDIAF 2025 (folder); NRC Nutrient Requirements of Dogs & Cats (folder),OK
25,added vitamins,vitamins;vitamin a;vitamin e;vitamin d3;vitamin c;b-vitamins;choline chloride;choline;alpha tocopheryl acetate;organic minerals & vitamins,additive_nutrient,synthetic,vitamin,vitamin,neutral,required_for_complete,Vitamin premix required for a complete food.,Generic 'vitamins' gives no detail on which/how much.,,IS-11968:2019 (folder),OK
26,added minerals / trace elements,minerals;zinc;iron;copper;manganese;selenium;iodine;calcium carbonate;dicalcium phosphate;monodicalcium phosphate;monocalcium phosphate;calcium sulphate dihydrate;chelate;zinc sulphate;sulphur,additive_nutrient,mineral,mineral,mineral,neutral,required_for_complete,Mineral premix (often chelated) required for completeness.,Generic 'minerals' gives no detail.,Chelated/organic forms absorb well - a quality signal.,IS-11968:2019 (folder),OK
27,amino acids (added),amino acids;dl-methionine;l-lysine;methionine;l-carnitine;glycine,additive_nutrient,synthetic,amino_acid,amino_acid,neutral,supplement,Supplemental amino acids for balance; DL-methionine also acidifies urine.,,L-carnitine supports fat metabolism (weight diets).,AAFCO Ingredients List (folder); NRC Nutrient Requirements of Dogs & Cats (folder),OK
28,salt / electrolytes,sodium chloride;potassium chloride;salt;electrolytes,additive_nutrient,mineral,mineral,mineral,neutral,electrolyte,Sodium/potassium/chloride source and palatant.,High salt is used to drive water intake in some diets; watch heart/kidney cases.,,AAFCO Ingredients List (folder),PARTIAL
29,joint support additives,glucosamine;glucosamine from fermentation;chondroitin;hydrolysed cartilage;mucopolysaccharide;mucopolysaccharide mps protect,additive_nutrient,animal,functional_additive,functional,positive,joint,Support cartilage/joint health; common in senior/mobility diets.,Evidence for label-level doses is mixed.,,NEEDS_SOURCE,NEEDS_SOURCE
30,urinary/functional additives,ammonium chloride;clinoptilolite;yucca schidigera;tuca schidigera,additive_nutrient,synthetic,functional_additive,functional,neutral,therapeutic_marker,Urinary acidifiers/binders used in specialty diets.,Often marks a therapeutic diet (out of MVP scope).,,NEEDS_SOURCE,NEEDS_SOURCE
31,probiotics / postbiotics,probiotics;enterococcus;lactobacillus;lactobacillus helveticus;lactobacillus rhamnosus;lactobacilus acidophilus;bacillus coagulans;bacillus subtilis;bacillus licheniformis;bifidobacterium longum;saccharomyces boulardii;live yeast culture;dried brewers' yeast;brewers yeast;yeast extract;yeast products;yeasts;hydrolysed yeast,additive_nutrient,animal,functional_additive,functional,neutral,gut_health,Live cultures/yeast for gut health and palatability.,Viability of 'probiotics' on shelf-stable food is uncertain.,,NEEDS_SOURCE,NEEDS_SOURCE
32,sugars / sweeteners,sugars;sugar;caramel;steviol glycoside;stevia,additive_nutrient,plant,sugar,sugar,caution,sugar;no_nutritional_need,Added for palatability/browning; common on EU wet foods.,Cats have no nutritional need for sugar; empty calories.,,FEDIAF 2025 (folder),OK
33,undisclosed flavours / palatants,flavours;flavour;flavoring agent;flavouring agent;flavouring innards;natural flavour;spearmint flavor;digest;palatant,additive_nutrient,unknown,flavour,flavour,caution,undisclosed,Improves palatability.,Composition undisclosed; not nutritionally needed.,,NEEDS_SOURCE,NEEDS_SOURCE
34,gelling / thickening agents,gelling agents;gelling agent;thickener;guar gum;xanthan;xanthan gum;locust bean gum;cassia gum,additive_nutrient,plant,thickener,thickener,neutral,texture,Create jelly/gravy/mousse texture in wet food.,Some owners avoid certain gums; generally recognised as safe.,,NEEDS_SOURCE,NEEDS_SOURCE
35,carrageenan,carrageenan,additive_nutrient,plant,thickener,thickener,caution,controversial,Seaweed-derived thickener in some wet foods.,Debated gut-inflammation concerns (degraded form); cat evidence limited.,Food-grade differs from degraded poligeenan; widely permitted.,NEEDS_SOURCE,NEEDS_SOURCE
36,preservatives (unspecified),preservatives;antioxidants,additive_nutrient,unknown,preservative,preservative,caution,needs_specificity,Prevent spoilage/rancidity.,Pack rarely says natural (tocopherols) vs artificial (BHA/BHT).,Natural antioxidant systems are common and fine.,NEEDS_SOURCE,NEEDS_SOURCE
37,natural preservatives,tocopherols;tocopherol extracts;mixed tocopherols;rosemary extract,additive_nutrient,plant,preservative,preservative,positive,natural_preservative,Natural antioxidant preservation (vit E / rosemary).,,,NEEDS_SOURCE,NEEDS_SOURCE
38,artificial preservatives,bha;bht;ethoxyquin;propyl gallate;sodium metabisulphite,additive_nutrient,synthetic,preservative,preservative,caution,artificial_preservative,Synthetic antioxidants/preservatives.,Some owners avoid; regulatory status varies by market.,Permitted at controlled levels; efficacy established.,NEEDS_SOURCE,NEEDS_SOURCE
39,artificial colours,titanium dioxide;permitted colours;ec colourants;tartrazine;caramel colour;iron oxide;colours;colouring agents;colouring;colour,additive_nutrient,synthetic,colourant,colourant,negative,artificial_colour,"Add visual colour for the human buyer, not the cat.",No nutritional value; purely cosmetic; some colourants restricted in EU.,,NEEDS_SOURCE,NEEDS_SOURCE
40,botanical / antioxidant extracts,turmeric;aloe vera extract;green tea extract;marigold extract;marigold meal;cranberry extract,whole_ingredient,plant,botanical,functional;colourant,neutral,marketing_botanical,Antioxidant/marketing botanicals; marigold is a lutein/natural colour source.,Usually 'fairy-dusted' small amounts; label-claim benefits often unproven.,,NEEDS_SOURCE,NEEDS_SOURCE
41,water / broth,water;broth;fish broth;chicken broth;gravy;water sufficient for processing,whole_ingredient,other,water,moisture,neutral,positional,Moisture - expected and beneficial in wet food.,First in a DRY food would be unusual; normal in wet.,"Position-dependent: judged by the rules engine, not intrinsically bad.",WSAVA toolkit (folder),OK
42,processing / technological aids,silicon dioxide;magnesium stearate;mono- and diglycerides;mono- and diglycerides of palmitic and stearic acids esterified with citric acid;emulsifiers;anticaking agents,additive_nutrient,synthetic,processing_aid,processing_aid,neutral,processing_aid,"Anticaking, emulsifier and flow agents for manufacturing.",No nutritional value; technological only.,Used in tiny amounts; generally recognised as safe.,NEEDS_SOURCE,NEEDS_SOURCE
43,cereals (unspecified grain),cereals;cereal & cereal products;cereal;grains,whole_ingredient,plant,grain_carb,carbohydrate,caution,carb;generic_grain,Unspecified grain carbohydrate/energy.,Grain species not named - less transparent; carb load for a carnivore.,Digestible grains are fine in moderation (WSAVA).,WSAVA toolkit (folder),OK
44,milk / dairy,milk powder;milk;whey,whole_ingredient,animal,dairy,protein,caution,dairy,Milk-derived protein/sugar.,Most adult cats are lactose-intolerant; usually a kitten/treat context.,Small amounts in kitten milk replacers/treats are fine.,NEEDS_SOURCE,NEEDS_SOURCE
45,"tuna (named, high-mercury fish)",tuna;tuna fillet;tuna fillets;skipjack,whole_ingredient,animal,named_animal_protein,protein,caution,named_protein;fish;mercury_thiaminase,"Named fish protein, highly palatable.","Frequent/exclusive tuna raises mercury, thiaminase (destroys B1) and steatitis/iodine concerns.","Fine as an occasional part of a varied, complete diet.",WSAVA toolkit (folder); NRC Nutrient Requirements of Dogs & Cats (folder),PARTIAL
46,shellfish / crustacean,shrimp;prawn;crustaceans,whole_ingredient,animal,named_animal_protein,protein,neutral,named_protein;shellfish_allergen,Named shellfish protein; usually a topping/flavour.,"Potential allergen; typically complementary, not a complete meal.",,NRC Nutrient Requirements of Dogs & Cats (folder),PARTIAL
47,fruits & vegetables (minor),pomegranate;dried pomegranate;dried apple;dried blueberry;dried spinach;dried sweet orange;dried carrot;carrot;pumpkin;vegetables,whole_ingredient,plant,produce,fibre;functional,neutral,minor_produce,Minor whole fruit/veg; small amounts of fibre and antioxidants.,Usually present in tiny 'fairy-dusted' amounts; label-claim benefits often overstated.,,WSAVA toolkit (folder),PARTIAL
48,digestive enzymes,cocktail enzymes;enzymes;amylase;protease;lipase,additive_nutrient,synthetic,functional_additive,functional,neutral,gut_health,Added enzymes to aid digestion.,Benefit at label doses is uncertain; not the same as probiotics.,,NEEDS_SOURCE,NEEDS_SOURCE
49,colostrum,colostrum,whole_ingredient,animal,dairy,functional,positive,immune_factor,Milk-derived immune factors (antibodies).,,Used in small supplement amounts.,NEEDS_SOURCE,NEEDS_SOURCE
